Player,Matches_x,Innings_x,Not Out,Runs_x,Highest Score,Average_x,Balls Faced,Strike Rate_x,100,50,0,4s,6s,Batting Position,Boundary %,Matches_y,Innings_y,Balls,Overs,Maidens,Runs_y,Wickets,Average_y,Economy,Strike Rate_y,4 wickets,5 wickets
K Rabada (PBKS),,,,,,,,,,,,,,,,6.0,6.0,138.0,23.0,0.0,232.0,7.0,33.14,10.08,19.71,0.0,0.0
JB Little (GT),,,,,,,,,,,,,,,,10.0,10.0,204.0,34.0,0.0,294.0,7.0,42.0,8.64,29.14,0.0,0.0
Mukesh Kumar (DC),,,,,,,,,,,,,,,,10.0,10.0,186.0,31.0,0.0,326.0,7.0,46.57,10.51,26.57,0.0,0.0
VG Arora (KKR),,,,,,,,,,,,,,,,5.0,5.0,96.0,16.0,0.0,146.0,5.0,29.2,9.12,19.2,0.0,0.0
Harshit Rana (KKR),,,,,,,,,,,,,,,,6.0,6.0,102.0,17.0,0.0,147.0,5.0,29.4,8.64,20.39,0.0,0.0
Akash Singh (CSK),,,,,,,,,,,,,,,,6.0,6.0,114.0,19.0,0.0,188.0,5.0,37.6,9.89,22.8,0.0,0.0
Arshad Khan (MI),,,,,,,,,,,,,,,,6.0,6.0,85.0,14.1,0.0,190.0,5.0,38.0,13.41,17.0,0.0,0.0
Umran Malik (SRH),,,,,,,,,,,,,,,,8.0,8.0,120.0,20.0,0.0,217.0,5.0,43.4,10.85,24.0,0.0,0.0
K Kartikeya (MI),,,,,,,,,,,,,,,,8.0,8.0,156.0,26.0,0.0,227.0,5.0,45.4,8.73,31.2,0.0,0.0
Fazalhaq Farooqi (SRH),,,,,,,,,,,,,,,,4.0,4.0,80.0,13.2,0.0,117.0,4.0,29.25,8.77,20.0,0.0,0.0
JO Holder (RR),,,,,,,,,,,,,,,,8.0,8.0,171.0,28.3,0.0,284.0,4.0,71.0,9.96,42.75,0.0,0.0
RS Hangargekar (CSK),,,,,,,,,,,,,,,,2.0,2.0,36.0,6.0,0.0,60.0,3.0,20.0,10.0,12.0,0.0,0.0
AS Roy (KKR),,,,,,,,,,,,,,,,4.0,3.0,48.0,8.0,0.0,65.0,3.0,21.66,8.12,16.0,0.0,0.0
Yudhvir Singh (LSG),,,,,,,,,,,,,,,,3.0,3.0,48.0,8.0,0.0,70.0,3.0,23.33,8.75,16.0,0.0,0.0
NA Saini (RR),,,,,,,,,,,,,,,,2.0,2.0,36.0,6.0,0.0,74.0,3.0,24.66,12.33,12.0,0.0,0.0
JR Hazlewood (RCB),,,,,,,,,,,,,,,,3.0,3.0,54.0,9.0,0.0,76.0,3.0,25.33,8.44,18.0,0.0,0.0
MJ Santner (CSK),,,,,,,,,,,,,,,,3.0,3.0,72.0,12.0,0.0,81.0,3.0,27.0,6.75,24.0,0.0,0.0
C Sakariya (DC),,,,,,,,,,,,,,,,2.0,2.0,48.0,8.0,0.0,89.0,3.0,29.66,11.12,16.0,0.0,0.0
AS Tendulkar (MI),,,,,,,,,,,,,,,,4.0,4.0,59.0,9.5,0.0,92.0,3.0,30.66,9.35,19.66,0.0,0.0
Mohsin Khan (LSG),,,,,,,,,,,,,,,,5.0,4.0,60.0,10.0,0.0,107.0,3.0,35.65,10.7,20.0,0.0,0.0
KM Asif (RR),,,,,,,,,,,,,,,,4.0,4.0,84.0,14.0,0.0,138.0,3.0,46.0,9.85,28.0,0.0,0.0
HR Shokeen (MI),,,,,,,,,,,,,,,,8.0,8.0,114.0,19.0,0.0,187.0,3.0,62.33,9.84,38.0,0.0,0.0
AU Rashid (SRH),,,,,,,,,,,,,,,,2.0,2.0,42.0,7.0,0.0,56.0,2.0,28.0,8.0,21.0,0.0,0.0
K Khejroliya (KKR),,,,,,,,,,,,,,,,2.0,2.0,26.0,4.2,0.0,64.0,2.0,32.0,14.76,13.0,0.0,0.0
K Yadav (RR),,,,,,,,,,,,,,,,2.0,2.0,42.0,7.0,0.0,68.0,2.0,34.0,9.71,21.0,0.0,0.0
TG Southee (KKR),,,,,,,,,,,,,,,,2.0,2.0,36.0,6.0,0.0,79.0,2.0,39.5,13.16,18.0,0.0,0.0
Yash Dayal (GT),,,,,,,,,,,,,,,,5.0,5.0,84.0,14.0,0.0,165.0,2.0,82.5,11.78,42.0,0.0,0.0
JC Archer (MI),,,,,,,,,,,,,,,,5.0,5.0,120.0,20.0,0.0,190.0,2.0,95.0,9.5,60.0,0.0,0.0
